序号,形态,英文,类型,长什么样,方向意义,必要确认指标,最适合识别框架,当前可靠等级,测试优先级
1,锤子线,Hammer,单根,小实体、长下影线、上影线很短；像锤子,下跌后可能止跌反弹,下跌趋势；靠近支撑；放量；ATR过滤异常影线,F3：形态+下跌趋势+支撑+放量,高,P0
2,吊颈线,Hanging Man,单根,小实体长下影，形状像锤子但在上涨后,上涨后可能见顶,上涨趋势；靠近阻力；放量或次根阴线确认,F3：形态+上涨趋势+阻力+次根确认,中高,P1
3,十字星,Doji,单根,开盘价和收盘价几乎相同，实体极小,趋势犹豫；末端可能反转,趋势位置；支撑/阻力决定方向,F2/F3：趋势末端+关键位,中,P1
4,长腿十字星,Long-Legged Doji,单根,十字星，上下影线都很长,多空剧烈争夺，可能变盘,趋势末端；支撑/阻力；成交量；ATR过滤异常波动,F3：关键位+波动确认,中,P2
5,墓碑十字星,Gravestone Doji,单根,开收盘接近最低点，上影线很长,顶部抛压强，看跌反转,上涨趋势；靠近阻力；放量；次根下跌确认,F3：上涨趋势+阻力+放量/次根确认,高,P0
6,蜻蜓十字星,Dragonfly Doji,单根,开收盘接近最高点，下影线很长,底部承接强，看涨反转,下跌趋势；靠近支撑；放量；次根上涨确认,F3：下跌趋势+支撑+放量/次根确认,高,P0
7,光头光脚,Marubozu,单根,长实体，几乎没有上下影线,单边强势，通常是趋势延续,颜色决定方向；ADX趋势强度；成交量放大,F3：实体强度+ADX+成交量,中高,P1
8,纺锤线,Spinning Top,单根,小实体，上下影线都有,中性，可能盘整或反转前兆,必须看趋势末端、支撑/阻力、后续确认,F2：观察型；不建议单独报警,低,P3
9,长下影线,Long Lower Shadow,单根,下影线明显长于实体,下方承接，可能反弹,下跌后；支撑位；放量,F3：下跌趋势+支撑+量能,中,P1
10,长上影线,Long Upper Shadow,单根,上影线明显长于实体,上方抛压，可能回落,上涨后；阻力位；放量,F3：上涨趋势+阻力+量能,中,P1
11,看涨吞没,Bullish Engulfing,双根,第一根阴线，第二根阳线实体完全吞没第一根实体,强看涨反转,下跌趋势；靠近支撑；第二根放量；实体吞没,F3：实体吞没+下跌趋势+支撑+放量,高,P0
12,看跌吞没,Bearish Engulfing,双根,第一根阳线，第二根阴线实体完全吞没第一根实体,强看跌反转,上涨趋势；靠近阻力；第二根放量；实体吞没,F3：实体吞没+上涨趋势+阻力+放量,高,P0
13,刺透形态,Piercing Line,双根,第一根阴线，第二根阳线低开后收回第一根实体50%以上,看涨反转，弱于吞没,下跌趋势；支撑；收复幅度；成交量,F3：下跌趋势+支撑+收复幅度+量能,中高,P1
14,乌云盖顶,Dark Cloud Cover,双根,第一根阳线，第二根阴线高开后跌破第一根实体中点,看跌反转，弱于吞没,上涨趋势；阻力；跌破中点；成交量,F3：上涨趋势+阻力+跌破中点+量能,中高,P1
15,看涨孕线,Bullish Harami,双根,第一根大阴线，第二根小阳线实体被第一根包住,潜在看涨反转，力度弱,下跌趋势；支撑；后续突破确认,F2/F3：结构+后续确认,低中,P2
16,看跌孕线,Bearish Harami,双根,第一根大阳线，第二根小阴线实体被第一根包住,潜在看跌反转，力度弱,上涨趋势；阻力；后续跌破确认,F2/F3：结构+后续确认,低中,P2
17,十字孕线,Harami Cross,双根,第一根大实体，第二根十字星被第一根包住,更强的犹豫/变盘,趋势末端；支撑/阻力；后续方向确认,F3：趋势末端+关键位+后续确认,中,P2
18,镊子顶,Tweezer Top,双根,两根K最高点几乎相同，第二根偏空,顶部阻力明显，可能回落,上涨趋势；阻力位；ATR同高容差；放量,F3：同高+阻力+ATR容差,中,P2
19,镊子底,Tweezer Bottom,双根,两根K最低点几乎相同，第二根偏多,底部支撑明显，可能反弹,下跌趋势；支撑位；ATR同低容差；放量,F3：同低+支撑+ATR容差,中,P2
20,跳空缺口,Window / Gap,双根,两根K之间出现价格空档,突破/中继/衰竭都可能,ATR判断缺口大小；趋势顺逆；支撑阻力突破；后续回补,F3/F4：缺口质量+后续回补测试,中,P0
21,看涨分手线,Bullish Separating Lines,双根,第一根阴线，第二根阳线，开盘价接近相同,上涨趋势中的看涨延续,确认原趋势向上；ADX；成交量,F3：趋势延续+ADX+成交量,低中,P3
22,看跌分手线,Bearish Separating Lines,双根,第一根阳线，第二根阴线，开盘价接近相同,下跌趋势中的看跌延续,确认原趋势向下；ADX；成交量,F3：趋势延续+ADX+成交量,低中,P3
23,晨星,Morning Star,三根,大阴线→小实体→大阳线收过第一根中点,经典底部看涨反转,下跌趋势；支撑；第三根放量；中间实体越小越好,F3：三根结构+下跌趋势+支撑+放量,高,P0
24,黄昏星,Evening Star,三根,大阳线→小实体→大阴线跌破第一根中点,经典顶部看跌反转,上涨趋势；阻力；第三根放量；中间实体越小越好,F3：三根结构+上涨趋势+阻力+放量,高,P0
25,弃婴形态,Abandoned Baby,三根,晨星/黄昏星变体，中间十字星，前后都有跳空,强反转信号,趋势末端；双跳空；中间十字；第三根反向确认；ATR,F3：跳空+十字+趋势末端+反向确认,高,P0
26,三只乌鸦,Three Black Crows,三根,连续三根大阴线，收盘逐步降低,强看跌反转/下跌启动,上涨后；跌破支撑；成交量连续放大,F3/F4：三阴结构+趋势位置+成交量,高,P1
27,三白兵,Three White Soldiers,三根,连续三根大阳线，收盘逐步抬高,强看涨反转/上涨启动,下跌后；突破阻力；成交量连续放大,F3/F4：三阳结构+趋势位置+成交量,高,P1
28,上升三法,Rising Three Methods,五根,大阳线后3根小整理线不破第一根低点，最后大阳线创新高,上涨中继,上涨趋势；ADX强；中间缩量整理；最后放量突破,F3：五根结构+ADX+缩量整理/放量突破,中高,P0
29,下降三法,Falling Three Methods,五根,大阴线后3根小整理线不破第一根高点，最后大阴线创新低,下跌中继,下跌趋势；ADX强；中间缩量整理；最后放量跌破,F3：五根结构+ADX+缩量整理/放量跌破,中高,P0
